trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.999}",25,0,-101.48455911886408,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.998001}",20,0,-90.9976359898686,"{0: 10, 1: 5, 2: 4, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.997002999}",20,0,-60.62342633949346,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.996005996001}",25,0,-12.80425987619753,"{0: 20, 1: 3, 2: 2, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.995009990004999}",20,0,-59.61016942695428,"{0: 11, 1: 4, 2: 5, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.994014980014994}",35,0,-94.87917954893456,"{0: 23, 1: 1, 2: 10, 3: 1, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.993020965034979}",20,0,-26.89771801168098,"{0: 14, 1: 4, 2: 2, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.992027944069944}",25,0,-65.58934103331524,"{0: 15, 1: 3, 2: 7, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.991035916125874}",25,0,-142.05077879609243,"{0: 10, 1: 5, 2: 9, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.9900448802097482}",20,0,-33.64909459538565,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.9890548353295384}",25,0,-60.771448397947125,"{0: 16, 1: 4, 2: 4, 3: 1, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.9880657804942089}",20,0,-10.441577638317401,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.9870777147137147}",25,0,-58.575727810903274,"{0: 16, 1: 2, 2: 7, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.986090636999001}",25,0,-43.443627561661735,"{0: 17, 1: 3, 2: 5, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.985104546362002}",25,0,-53.66353532154933,"{0: 16, 1: 4, 2: 5, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.9841194418156399}",30,0,-35.81372868659384,"{0: 22, 1: 3, 2: 5, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.9831353223738244}",20,0,-58.17393488037004,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.9821521870514505}",25,0,-35.034061443649165,"{0: 18, 1: 4, 2: 3, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.981170034864399}",35,0,-95.6493439855047,"{0: 21, 1: 3, 2: 11, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': 0.9801888648295347}",30,0,-63.04519072326922,"{0: 20, 1: 3, 2: 7, 3: 0, 4: 0}",0
21,False,"{'a': 0.5, 'e': 0.9792086759647052}",20,0,-74.0779265131776,"{0: 10, 1: 4, 2: 6, 3: 0, 4: 0}",0
22,False,"{'a': 0.5, 'e': 0.9782294672887404}",20,0,-36.00789577976404,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
23,False,"{'a': 0.5, 'e': 0.9772512378214517}",20,0,-70.59348182115299,"{0: 10, 1: 3, 2: 7, 3: 0, 4: 0}",0
24,False,"{'a': 0.5, 'e': 0.9762739865836302}",20,0,-109.91978298575305,"{0: 10, 1: 2, 2: 7, 3: 0, 4: 1}",0
